Constituency,PollingPercentage,TotalVotes,Margin,MarginPerc,
1-Abdasa- Gujarat,64.12,87912,10019,0.11396623896623896,
2-Mandvi- Gujarat,61.36,89004,4139,0.04650352793132893,
3-Bhuj- Gujarat,62,133232,21582,0.16198811096433288,
4-Mundra- Gujarat,60.24,92657,15265,0.16474740170737234,
5-Anjar- Gujarat,54.71,153559,17588,0.11453578103530239,
6-Rapar- Gujarat,52.06,93130,5639,0.06054976913991195,
7-Dasada- Gujarat,52.31,80386,4066,0.05058094693105765,
8-Wadhwan- Gujarat,55.62,116786,6902,0.05909954960354837,
9-Limbdi- Gujarat,59.9,105170,7159,0.06807074260720739,
10-Chotila- Gujarat,51.18,94476,1721,0.018216266565053558,
11-Halvad- Gujarat,68.38,110826,4564,0.041181672170790246,
12-Dhrangadhra- Gujarat,73.89,116992,12004,0.10260530634573305,
13-Morvi- Gujarat,68.61,138905,22521,0.16213239264245347,
14-Tankara- Gujarat,64.72,122701,19095,0.1556222035680231,
15-Wankaner- Gujarat,63.65,111315,18103,0.16262857656200871,
16-Jasdan- Gujarat,64.21,118816,25679,0.2161240910315109,
17-Rajkot-I- Gujarat,52.71,187950,35643,0.18964086193136473,
18-Rajkot-II- Gujarat,52.56,89737,9856,0.10983206481161617,
19-Rajkot Rural- Gujarat,48.23,194591,41398,0.21274365207023962,
20-Gondal- Gujarat,61.29,103455,488,0.0047170267265961045,
21-Jetpur- Gujarat,59.97,112726,12193,0.10816493089438106,
22-Dhoraji- Gujarat,61.67,90470,12386,0.13690726207582624,
23-Upleta- Gujarat,56.66,76859,4685,0.06095577616154257,
24-Jodiya- Gujarat,70.69,96675,5193,0.053716058960434444,
25-Jamnagar- Gujarat,52.18,68737,1080,0.01571206191716252,
26-Jamnagar Rural- Gujarat,47.3,138969,9881,0.07110218825781289,
27-Kalawad- Gujarat,58,84702,6272,0.07404783830370003,
28-Jamjodhpur- Gujarat,69.94,93248,17,0.00018230954015099519,
29-Bhanvad- Gujarat,58.56,76244,13891,0.18219138555164996,
30-Khambhalia- Gujarat,54.27,86655,798,0.009208931971611564,
31-Dwarka- Gujarat,46.26,77459,10653,0.1375308227578461,
32-Porbandar- Gujarat,61.6,103778,9616,0.09265933049393899,
33-Kutiyana- Gujarat,51.73,81630,9150,0.11209114296214627,
34-Mangrol- Gujarat,59.78,102122,2631,0.025763302716358866,
35-Manavadar- Gujarat,67.21,84615,1731,0.020457365715298707,
36-Keshod- Gujarat,55.23,89118,19471,0.21848560335734643,
37-Talala- Gujarat,72.97,128252,5632,0.043913545207872,
38-Somnath- Gujarat,68.46,144866,5229,0.03609542611792967,
39-Una- Gujarat,66.54,146310,10706,0.07317339894744036,
40-Visavadar- Gujarat,53.63,84545,4229,0.050020699036016324,
41-Maliya- Gujarat,58.64,102065,19575,0.191789545877627,
42-Junagadh- Gujarat,51.55,119007,30987,0.2603796415336913,
43-Babra- Gujarat,64.65,99832,28262,0.28309560060902317,
44-Lathi- Gujarat,58.55,75205,25309,0.33653347516787446,
45-Amreli- Gujarat,61.75,99299,4189,0.042185721910593256,
46-Dhari- Gujarat,56.41,84399,17862,0.21163757864429672,
47-Kodinar- Gujarat,67.53,116548,32034,0.274856711397879,
48-Rajula- Gujarat,57.94,107348,32330,0.3011700264560122,
49-Botad- Gujarat,69,151179,3188,0.021087584915894405,
50-Gadhada- Gujarat,59.2,108439,1427,0.013159472145630262,
51-Palitana- Gujarat,58.37,98855,19394,0.19618633351879014,
52-Sihor- Gujarat,57.84,105927,4118,0.038875829580749005,
53-Kundla- Gujarat,57.18,86782,17334,0.19974188195708786,
54-Mahuva- Gujarat,50.18,87365,26089,0.2986207291249356,
55-Talaja- Gujarat,49,88939,28125,0.3162279764782604,
56-Ghogho- Gujarat,58.84,107297,34591,0.3223855280203547,
57-Bhavnagar North- Gujarat,50.96,101597,25177,0.24781243540655729,
58-Bhavnagar South- Gujarat,62.82,154125,7134,0.04628710462287105,
